feature,Neutral mass (Da),mz,Charge,rt,Chromatographic peak width (min),Identifications,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%
0.96_407.9531n,407.953129788299,408.960406220299,1,57.78100000000002,0.08575,0,Infinity,SCQC,Z,100,1113.31684087242,6.38
0.96_379.8723n,379.872267150394,418.830774423812,1,57.78100000000002,0.0971833333333334,0,Infinity,4,Z,100,465.56566115072,9.53
0.96_501.8220n,501.822006466657,502.829282898657,1,57.78100000000002,0.08575,0,Infinity,4,Z,100,616.727317485626,7.43
0.96_326.9574m/z,,326.957440784942,1,57.78100000000002,0.08575,0,Infinity,SCQC,Z,100,403.482753048373,5.72
0.96_461.8748n,461.874791302138,444.871503052138,1,57.78100000000002,0.08575,0,Infinity,4,Z,100,616.029108696452,8.96
0.96_403.9163n,403.916293444758,442.874043156978,1,57.78100000000002,0.08575,0,Infinity,4,Z,100,624.742244000707,6.56
0.96_221.9652n,221.965191711829,244.954412391829,1,57.78100000000002,0.165783333333333,0,Infinity,SCQC,Z,100 - 0.805,2857.00183592276,3.04
0.91_147.1138m/z,,147.113782204927,1,54.69400000000002,0.05145,0,Infinity,1,Z,100,99.8939714751965,10.58
0.93_268.9990m/z,,268.998966941838,1,55.72300000000002,0.165783333333333,0,Infinity,1,Z,100 - 5.63,4562.1660588066,4.94
0.91_130.0870m/z,,130.086965434221,1,54.69400000000002,0.05145,0,Infinity,1,Z,100,108.346494877373,10.18
0.91_278.9536m/z,,278.953567139909,1,54.69400000000002,0.05145,0,Infinity,1,Z,100,393.602317661893,26.39
0.91_360.9565m/z,,360.956514194277,1,54.69400000000002,0.05145,0,Infinity,4,Z,100,418.961426904609,50.18
0.93_186.9961m/z,,186.996110219522,1,55.72300000000002,0.200083333333333,0,Infinity,4,Z,100 - 0.404,1541.00706400209,4.05
0.93_254.9828m/z,,254.982807550106,1,55.72300000000002,0.1029,0,Infinity,1,Z,100,666.217181899299,17.47
0.93_104.9931m/z,,104.993140282888,1,55.72300000000002,0.148633333333333,0,Infinity,4,Z,100,432.662842223961,6.14
0.93_380.0000n,379.999975333873,344.986122393873,1,55.72300000000002,0.05145,0,Infinity,SCQC,Z,100 - 8.48,1654.29450722778,4.65
0.93_351.0018m/z,,351.001796068946,1,55.72300000000002,0.12005,0,Infinity,1,Z,100 - 3.21,1237.90279056046,5.07
0.93_394.0557n,394.055667542362,433.004531984974,1,55.72300000000002,0.12005,0,Infinity,3,Z,100 - 8.8,2107.74504263519,8.69
0.96_321.9127n,321.91270334942,360.871739021018,1,57.78100000000002,0.08575,0,Infinity,4,Z,100,393.750178563725,7.38
1.06_204.1231m/z,,204.123070325027,1,63.612,0.15435,0,Infinity,SCQC,Z,100,475.614762335613,5.03
1.06_372.7380m/z,,372.738043892068,1,63.612,0.114333333333333,0,Infinity,4,Z,100,316.18596697639,22.62
